Station,Date,Hour_UTC,Frequency_Hz,PLV,Hour_Threshold,Passed
FCHU,20260904,0,6.7,0.470000348961999,0.5397573036949624,0
FCHU,20260904,0,6.8,0.5296960923655647,0.5397573036949624,0
FCHU,20260904,0,6.9,0.4642349643794718,0.5397573036949624,0
FCHU,20260904,0,7.0,0.3854028070661918,0.5397573036949624,0
FCHU,20260904,0,7.1,0.45108212333832864,0.5397573036949624,0
FCHU,20260904,0,7.2,0.4236816470415416,0.5397573036949624,0
FCHU,20260904,0,7.3,0.5746497424325238,0.5397573036949624,1
FCHU,20260904,0,7.4,0.4994961356053093,0.5397573036949624,0
FCHU,20260904,0,7.5,0.43085237280350996,0.5397573036949624,0
FCHU,20260904,0,7.6,0.38232680902195304,0.5397573036949624,0
FCHU,20260904,0,7.7,0.4432762835532099,0.5397573036949624,0
FCHU,20260904,0,7.8,0.38851871121194753,0.5397573036949624,0
FCHU,20260904,0,7.9,0.41127676384744694,0.5397573036949624,0
FCHU,20260904,0,8.0,0.5345990323731727,0.5397573036949624,0
FCHU,20260904,0,8.1,0.621209507303562,0.5397573036949624,1
FCHU,20260904,0,8.2,0.5776458205710328,0.5397573036949624,1
FCHU,20260904,0,8.3,0.513482693094597,0.5397573036949624,0
FCHU,20260904,0,8.4,0.38988006838759015,0.5397573036949624,0
FCHU,20260904,0,8.5,0.15250524018425143,0.5397573036949624,0
FCHU,20260904,0,8.6,0.06596916761556024,0.5397573036949624,0
FCHU,20260904,0,8.7,0.18107769458370132,0.5397573036949624,0
FCHU,20260904,0,8.8,0.09877728133114956,0.5397573036949624,0
FCHU,20260904,0,8.9,0.17636793051080205,0.5397573036949624,0
FCHU,20260904,0,9.0,0.15935017698784537,0.5397573036949624,0
FCHU,20260904,0,9.1,0.21725225118843805,0.5397573036949624,0
FCHU,20260904,0,9.2,0.28620516714320426,0.5397573036949624,0
FCHU,20260904,0,9.3,0.13980876392147049,0.5397573036949624,0
FCHU,20260904,0,9.4,0.07433705261493992,0.5397573036949624,0
FCHU,20260904,0,9.5,0.22440020191457677,0.5397573036949624,0
FCHU,20260904,1,1.0,0.2806337541257143,0.4602379391842091,0
FCHU,20260904,1,1.1,0.15819292220016695,0.4602379391842091,0
FCHU,20260904,1,1.2,0.21127523072016127,0.4602379391842091,0
FCHU,20260904,1,1.3,0.29070531462943944,0.4602379391842091,0
FCHU,20260904,1,1.4,0.26638830273514774,0.4602379391842091,0
FCHU,20260904,1,1.5,0.3160180566206167,0.4602379391842091,0
FCHU,20260904,1,1.6,0.32002893676643596,0.4602379391842091,0
FCHU,20260904,1,1.7,0.42343279023904645,0.4602379391842091,0
FCHU,20260904,1,1.8,0.3020587796643931,0.4602379391842091,0
FCHU,20260904,1,1.9,0.2951534425855894,0.4602379391842091,0
FCHU,20260904,1,2.0,0.1854329174890099,0.4602379391842091,0
FCHU,20260904,1,2.1,0.07984629730202203,0.4602379391842091,0
FCHU,20260904,1,2.2,0.3107552399805361,0.4602379391842091,0
FCHU,20260904,1,2.3,0.35122974314027045,0.4602379391842091,0
FCHU,20260904,1,2.4,0.3065756254482324,0.4602379391842091,0
FCHU,20260904,1,2.5,0.4507389725584186,0.4602379391842091,0
FCHU,20260904,1,2.6,0.39183867069419726,0.4602379391842091,0
FCHU,20260904,1,2.7,0.4093312827941019,0.4602379391842091,0
FCHU,20260904,1,2.8,0.3631118582880695,0.4602379391842091,0
FCHU,20260904,1,2.9,0.2510563099581275,0.4602379391842091,0
FCHU,20260904,1,3.0,0.36726759105214685,0.4602379391842091,0
