Frequency_Hz,Common_Geometric_Raw,Common_Geometric_Smoothed,Common_Arithmetic,Common_Minimum,FCHU_Normalized,FSMI_Normalized,ISLL_Normalized,MSTK_Normalized,PINA_Normalized
6.873,0.3360037206564708,0.30631957762390666,0.44800060614960746,0.06906559319632305,0.23966170066606754,0.06906559319632305,0.7465160184381618,0.6581065279772447,0.5266531904702401
6.874,0.34014005802101166,0.32635117915686623,0.4456402049036111,0.07561839268273991,0.2414498511934714,0.07561839268273991,0.7403856099295202,0.6619161679350737,0.5088310027772501
6.875,0.3395242387653283,0.34444824330391005,0.44070710900860355,0.07867601733990932,0.2420643623594804,0.07867601733990932,0.7327677063915499,0.660654452842502,0.4893730061095763
6.876,0.33766339460295675,0.3581521662049252,0.43593030724602544,0.08027813983065099,0.24211985266550107,0.08027813983065099,0.7225816484512455,0.6639294878414737,0.47074240744125617
6.877,0.3375310812109192,0.35438945750725864,0.4301559546622249,0.08581341185316935,0.24100367544328968,0.08581341185316935,0.7102498112416943,0.6656689566451487,0.4480439181278224
6.878,0.346080478760615,0.3580950144298044,0.42576449490151297,0.10734609550406735,0.2344800276196747,0.10734609550406735,0.6962081274892146,0.6643465690508341,0.4264416548437739
6.879,0.35218604346939,0.36241123731111424,0.42094167439367586,0.13076239250827387,0.227262926675072,0.13076239250827387,0.6813810175752173,0.6596694086807694,0.40563262652904675
6.88,0.3660188220591639,0.3669756273327143,0.4221540379108476,0.1740453723935842,0.2169536463440556,0.1740453723935842,0.6692468552364996,0.651529536590112,0.39899477898998664
6.881,0.37218473045714395,0.3716843461690703,0.4220590516962446,0.2058530298488829,0.2058530298488829,0.20650104977514006,0.6572148457839024,0.6434539069004311,0.3972724261728665
6.882,0.37651292238443196,0.37697213709371,0.422895991450548,0.19507822565810007,0.19507822565810007,0.23585102735348953,0.6444962471225639,0.6409227110929085,0.398131746025678
6.883,0.3844477410797079,0.38240781898878273,0.4282475714470227,0.18898831445035713,0.18898831445035713,0.26915008522208245,0.6321773215512999,0.6477001996646577,0.4032219363467162
6.884,0.39179138669817126,0.38802354276335027,0.43391095144226577,0.18690421113908842,0.18690421113908842,0.2943775577805164,0.6229253511957884,0.6526440413412703,0.4127035957546653
6.885,0.3993562534561343,0.39361535687234395,0.44064863656901715,0.18382338346510999,0.18382338346510999,0.3221085958912351,0.6139869203385647,0.6599370828859431,0.4233872002642329
6.886,0.4056232296924162,0.39878775455231913,0.44755276549915646,0.1773625532414801,0.1773625532414801,0.3513447091336435,0.6024427098404745,0.6701998946998882,0.4364139605802961
6.887,0.4080267389509221,0.4027345682372682,0.4524333058337856,0.16790846920102842,0.16790846920102842,0.37417471551020914,0.590445832233771,0.6837695586534934,0.445867953570426
6.888,0.4076167962223156,0.40532439550944727,0.4539307420292532,0.1605093790183848,0.1605093790183848,0.38928839775735014,0.5791416881217365,0.6901397308857731,0.45057451436302154
6.889,0.40575405257793185,0.40729090479945834,0.4524953301748472,0.15788005689209747,0.15788005689209747,0.3939043438884311,0.569796083542765,0.693098379171892,0.4477977873790504
6.89,0.40574296158896,0.40879790638168545,0.4523249215281561,0.15886053741114042,0.15886053741114042,0.3986753171089412,0.5645685606138127,0.7004721749344481,0.4390480175724381
6.891,0.40761943418300745,0.41086860618519955,0.45333890527738624,0.16308246449949929,0.16308246449949929,0.39688405584016057,0.5652939165882076,0.7054702332984001,0.4359638561606632
6.892,0.4128176160070182,0.41346303460712036,0.45568972814307196,0.17335369830726213,0.17335369830726213,0.3962163500012877,0.5698830093263827,0.7037838435491561,0.4352117395312711
6.893,0.41793339631532156,0.41671627567917374,0.458576315663678,0.1808400600977253,0.1808400600977253,0.4042507768024704,0.5737123406974126,0.6993947241621321,0.43468367655864926
6.894,0.4212921333481228,0.4211270700613214,0.46121142765782147,0.18300636380525906,0.18300636380525906,0.4169641492612488,0.5772606196248793,0.6958488158459524,0.43297718975176763
6.895,0.4234687318953516,0.4265786473803948,0.4622509349750846,0.18604385063840392,0.18604385063840392,0.4219425907836318,0.5792105606259517,0.6899863733020047,0.4340712995254311
