t_s,mx,my,mz,yaw_deg,roll_deg,pitch_deg
430.055,8134.3710194883215,-4079.634423241019,-4198.2525096320205,128.9000772650466,-17.314426297047895,22.538151488990923
430.06,8134.563397435607,-4079.0720498217993,-4195.955446181481,128.9058384665061,-17.301294691903237,22.53261423372554
430.065,8136.681661533655,-4078.9742428606887,-4193.686993774038,128.90851168342178,-17.28484150028557,22.52894480988957
430.07,8140.152642875692,-4079.0890416803127,-4192.433026084874,128.90861538914479,-17.26559283666358,22.515908712040435
430.075,8143.703495012019,-4078.9572510778944,-4192.825988490123,128.90591989334465,-17.244228363958218,22.506508865836434
430.08,8146.459740002207,-4078.389619040726,-4195.244371591454,128.9000479393141,-17.218800949186022,22.493921808371372
430.085,8148.250659660711,-4077.7281557714286,-4199.416033380757,128.892446824478,-17.193506744028575,22.48698519278858
430.09000000000003,8149.391160253004,-4077.5824191468373,-4204.327542925244,128.8804181862665,-17.153266623695707,22.476562553168645
430.095,8150.383845820762,-4078.1417999563205,-4208.817416636326,128.8721237437321,-17.100561904183003,22.459324181865203
430.1,8151.61705629614,-4078.9373887522247,-4212.05348291842,128.86733119227634,-17.063020411698062,22.44464017510248
430.105,8153.187201613003,-4079.2957671368154,-4213.762714593636,128.85954054884763,-17.03500484029359,22.43941244049043
430.11,8154.915087454271,-4078.8545406468597,-4214.469137781832,128.84813820783128,-17.012319087723753,22.43594545402321
430.115,8156.378798641379,-4077.8849834886955,-4215.248169538181,128.83781781533648,-16.98490696993573,22.422944188784566
430.12,8157.031982602317,-4077.3465878206594,-4216.882058709085,128.82655505389837,-16.969528717742207,22.41700523044153
430.125,8156.581542111909,-4078.175371123184,-4219.1216684222345,128.81634649616623,-16.956108675345757,22.41817286289058
430.13,8155.390513914684,-4080.294985234998,-4220.758665910117,128.80260173396405,-16.941508749010925,22.41525398750681
430.135,8154.258791022123,-4082.608316833755,-4220.555093558318,128.7880702030448,-16.931213155997174,22.411713541262444
430.14,8153.807983394311,-4084.0034704650247,-4218.248332762584,128.77762952175738,-16.918627309707507,22.41207819522027
430.145,8154.040638302538,-4084.1525759008337,-4214.61164740812,128.76822151330913,-16.900563465694113,22.41358168893498
430.15,8154.476288863976,-4083.564917863568,-4210.763194039442,128.7637678049651,-16.88805151760625,22.420124384674406
430.15500000000003,8154.649622868389,-4083.147362707869,-4207.43616287871,128.75688471333768,-16.873144725835807,22.424273055570957
430.16,8154.534962567627,-4083.567535847371,-4204.7324252731,128.75440429436892,-16.86286754790479,22.43410155918605
430.165,8154.687798690631,-4084.882335538411,-4202.405780565975,128.75185042133182,-16.847433056369766,22.449668320759805
430.17,8155.582199318721,-4086.70544841952,-4200.139750197299,128.7496139363279,-16.819874706210197,22.45895402109206
430.175,8156.929885505776,-4088.5703956956936,-4197.856831414258,128.75634363230026,-16.826539925326816,22.474024163206547
430.18,8157.96337822773,-4090.100617012607,-4195.858209020177,128.76109672886312,-16.853399807333503,22.497745739333304
430.185,8158.196580701925,-4091.2026122131865,-4194.674078717319,128.7673100420824,-16.89626801272097,22.526187631857653
430.19,8157.692997914059,-4092.1912527614973,-4194.635964828534,128.77218983028513,-16.948286510634563,22.550626273615215
430.195,8156.825781179041,-4093.555407841583,-4195.493038759578,128.77994506619407,-17.012595247445518,22.57608170707104
430.2,8155.905251284821,-4095.468123190909,-4196.531316896257,128.78976522072406,-17.085218829003693,22.608080417537384
430.205,8154.957497561272,-4097.5194741773075,-4197.101429795226,128.7929335353899,-17.162787976966587,22.633543108434086
