year,latitude_deg,longitude_deg,north_nT,east_nT,down_nT,declination_deg
1827.0,17.0,71.02763056434146,35939.66097900158,3.3682865524520267e-13,8375.742736427675,5.369794772380539e-16
1828.0,17.0,-56.75440953379608,29510.75524129155,6.691387895163547e-11,35644.2239426091,1.2991476576694331e-13
1828.0,17.0,70.87716651996776,35938.79667330013,9.051242177635088e-12,8422.914227870026,1.4430031724311212e-14
1829.0,17.0,-56.89738992393987,29530.29753028266,1.992066060718667e-11,35576.181552257345,3.865080521907586e-14
1829.0,17.0,70.70235384067388,35937.57693204274,-1.2882689408516904e-11,8468.112269728788,-2.0539051179818913e-14
1830.0,17.0,-57.046202180061854,29552.286355039636,-8.34339541899709e-13,35518.660390448575,-1.6176120472512837e-15
1830.0,17.0,70.51298096325594,35935.83270843628,3.4365305739969543e-13,8511.54995036843,5.479174495696933e-16
1831.0,17.0,-57.19730119699035,29576.28160066026,-4.6546044796258457e-11,35474.21484382631,-9.01699529325871e-14
1831.0,17.0,70.31702688606981,35933.50764222666,1.0852006359501898e-11,8553.606655069594,1.730346421616576e-14
1832.0,17.0,-57.349674163606345,29602.30759504057,5.033604869725261e-11,35442.359518222205,9.742629484063395e-14
1832.0,17.0,70.1124714180482,35930.691787494834,-1.4455971142357527e-13,8595.294354403073,-2.3051772565878175e-16
1833.0,17.0,-57.50275445487433,29630.475273891727,4.0060879960557294e-13,35421.85398366676,7.746481702042158e-16
1833.0,17.0,69.89477591665343,35927.489402491694,2.219718332752141e-12,8637.769773256754,3.5399214999335013e-15
1834.0,17.0,-57.65112995763949,29660.05312397999,-2.270260173430072e-11,35411.42711537255,-4.385572938472435e-14
1834.0,17.0,69.66721095373595,35924.16770498116,-1.8742507545965736e-12,8682.59268885923,-2.9892594553471995e-15
1835.0,17.0,-57.7847578113702,29689.486062482156,8.711317333719854e-11,35409.75533726153,1.6811396336430094e-13
1835.0,17.0,69.44162040364458,35921.21132459489,-4.412095688799411e-13,8731.80074183524,-7.037470409662558e-16
1836.0,17.0,-57.89647958264354,29717.620818705946,2.6306171108624044e-11,35415.4724143925,5.0718480758203984e-14
1836.0,17.0,69.2312416389864,35919.25812225381,-4.1759685986964e-12,8786.856471650677,-6.6612003864363565e-15
1837.0,17.0,-57.99009115686924,29744.908706635462,5.02701179294629e-14,35427.14574292673,9.683222165481469e-17
1837.0,17.0,69.05091421424777,35919.34813583822,6.483320824646199e-13,8846.581900912428,1.0341694372534446e-15
1838.0,17.0,-58.072120917281275,29772.23770496316,-1.9272079591903246e-12,35443.19977897584,-3.7088539800022676e-15
1838.0,17.0,68.91638546326702,35922.64590013772,1.621647260918735e-12,8909.298651930732,2.5864894297565505e-15
1839.0,17.0,-58.1497809890744,29801.10589985949,-3.0365814029931215e-11,35459.00544976619,-5.83814906480502e-14
1839.0,17.0,68.82714663532667,35929.57566756931,-7.003911339786839e-13,8974.684669205219,-1.1168920099878037e-15
1840.0,17.0,-58.23094863165927,29833.62304800065,-9.835634433644214e-11,35466.87897606552,-1.8889436960930087e-13
1840.0,17.0,68.76440216442212,35939.708072542475,6.742523206426654e-14,9043.61807536837,1.0749061239381769e-16
1841.0,17.0,-58.321686485590206,29871.19255889647,8.790830823696139e-11,35461.26476973233,1.6861647007169545e-13
1841.0,17.0,68.71088509243958,35952.610224093914,1.2600649690330812e-12,9116.388660008906,2.0080991112432596e-15
1842.0,17.0,-58.42085201274421,29912.23107780628,2.0043549285586604e-11,35445.63500603975,3.83926821620018e-14
1842.0,17.0,68.66458759785151,35968.34789448034,4.872248438037019e-13,9191.130624423899,7.76124811341608e-16
1843.0,17.0,-58.52548463538615,29954.408418619034,3.88560711384045e-13,35425.6520812832,7.432257895324854e-16
1843.0,17.0,68.62768839315683,35987.15357840293,-6.051062428902299e-13,9265.489453731427,-9.634002811335117e-16
1844.0,17.0,-58.632538673357,29995.719313150454,-2.3265335838407175e-11,35405.59610597229,-4.4439859520581174e-14
1844.0,17.0,68.60217477371353,36009.74594593119,1.6854781459407775e-12,9337.928770234485,2.6817957663167937e-15
1845.0,17.0,-58.738873872494196,30034.47844420664,-1.2311741730275383e-10,35388.367792030804,-2.3486701822050115e-13
1845.0,17.0,68.5897539609428,36037.32846203682,2.3275825711266407e-13,9407.727486609825,3.7006255315027794e-16
1846.0,17.0,-58.842401408669055,30069.604356936543,9.050283439338003e-11,35375.94669930277,1.7244757806452201e-13
1846.0,17.0,68.5890215717063,36070.71285581563,3.7302452793319674e-13,9474.458339539186,5.925231139973482e-16
1847.0,17.0,-58.94546765791132,30102.472554513664,1.0065314900997713e-11,35366.88084873057,1.915789682236035e-14
1847.0,17.0,68.58532766927628,36108.97622894089,4.0778491694482e-13,9538.705013992398,6.470511526523081e-16
1848.0,17.0,-59.0513104324377,30135.005868773744,1.240637800825617e-12,35358.90392166092,2.3588284734783236e-15
1848.0,17.0,68.55989335852031,36150.63757501343,-2.2326168691577664e-12,9601.222973398322,-3.538513632215075e-15
1849.0,17.0,-59.15887027200533,30167.517154436064,-4.701346430213693e-11,35350.489467352796,-8.92905130711198e-14
1849.0,17.0,68.50540119171487,36193.79105406087,7.886330477546721e-13,9662.134066446182,1.2484280840708483e-15
1850.0,17.0,-59.26286501962726,30198.715024640696,1.6209197525873797e-10,35340.83264509813,3.075358030196566e-13
1850.0,17.0,68.42735829193956,36236.216009156735,1.0370281022797911e-12,9720.982568329055,1.639722356276897e-15
1851.0,17.0,-59.36036928772157,30227.80301005455,8.518341240715266e-11,35329.484393606544,1.6146228072972256e-13
1851.0,17.0,68.33143665399263,36276.19591198263,-7.637987464725882e-14,9777.491448815059,-1.2063680733350164e-16
1852.0,17.0,-59.45831899836162,30256.203311841477,3.6038151629558257e-12,35317.35355788501,6.8244979997806824e-15
1852.0,17.0,68.21961823257071,36313.93383549008,4.784065504859214e-12,9832.114854154317,7.548253064080551e-15
1853.0,17.0,-59.56581904123581,30285.80952312006,-9.360394404023253e-13,35305.673133311444,-1.770832949071374e-15
1853.0,17.0,68.09314414711376,36350.10484298083,-9.520925714490147e-13,9885.456204066202,-1.5007078049823026e-15
1854.0,17.0,-59.68752759405945,30316.95809892843,-9.210784565616414e-11,35294.83974269987,-1.7407388956767171e-13
1854.0,17.0,67.95594164395258,36385.005428970195,-5.190847751634919e-13,9937.177185303395,-8.174072389359848e-16
1855.0,17.0,-59.82376335766663,30348.443717453087,1.4223897060183788e-10,35284.39963492685,2.685374173926387e-13
