timestamp,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg,mx,my,mz,time_year,time_month,time_day,time_hour,time_minute,time_second,time_ms,lat,lon,alt_m,speed_kn,course_deg,hdop,nsats,fix
1761737485.623555,0.1220703125,-0.26611328125,0.96044921875,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-700,4798,-6658,2025,8,21,3,16,5,223,,,,,,,,
1761737485.623589,0.1220703125,-0.26611328125,0.96044921875,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-700,4798,-6658,2025,8,21,3,16,5,228,,,,,,,,
1761737485.624983,0.12353515625,-0.267578125,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-700,4798,-6658,2025,8,21,3,16,5,228,,,,,,,,
1761737485.625049,0.12353515625,-0.267578125,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-700,4798,-6658,2025,8,21,3,16,5,228,,,,,,,,
1761737485.625087,0.12353515625,-0.267578125,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-700,4798,-6658,2025,8,21,3,16,5,228,,,,,,,,
1761737485.626689,0.12353515625,-0.267578125,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-698,4795,-6661,2025,8,21,3,16,5,228,,,,,,,,
1761737485.626751,0.12353515625,-0.267578125,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-698,4795,-6661,2025,8,21,3,16,5,228,,,,,,,,
1761737485.626784,0.12353515625,-0.267578125,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-698,4795,-6661,2025,8,21,3,16,5,228,,,,,,,,
1761737485.627911,0.12353515625,-0.267578125,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-698,4795,-6661,2025,8,21,3,16,5,228,,,,,,,,
1761737485.627981,0.12353515625,-0.267578125,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-698,4795,-6661,2025,8,21,3,16,5,228,,,,,,,,
1761737485.628009,0.12353515625,-0.267578125,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-698,4795,-6661,2025,8,21,3,16,5,228,,,,,,,,
1761737485.629264,0.12353515625,-0.267578125,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-698,4795,-6661,2025,8,21,3,16,5,233,,,,,,,,
1761737485.629322,0.1240234375,-0.26416015625,0.9609375,0.0,0.0,0.0,-16.6278076171875,-6.1138916015625,5.042724609375,-698,4795,-6661,2025,8,21,3,16,5,233,,,,,,,,
