Station,UTC_Hour,Frequency_Hz,PLV
IST,2017-03-28T00,6.46,0.20294884396528565
IST,2017-03-28T00,6.461,0.19864661779933737
IST,2017-03-28T00,6.462,0.19530345612832206
IST,2017-03-28T00,6.463,0.1925537142987077
IST,2017-03-28T00,6.464,0.1910596277784593
IST,2017-03-28T00,6.465,0.19035020054577187
IST,2017-03-28T00,6.466,0.190387009897863
IST,2017-03-28T00,6.467,0.19116526030670983
IST,2017-03-28T00,6.468,0.19271625575530815
IST,2017-03-28T00,6.469,0.1950202281021709
IST,2017-03-28T00,6.47,0.19803815131242744
IST,2017-03-28T00,6.471,0.2017793445015829
IST,2017-03-28T00,6.472,0.20628214280352625
IST,2017-03-28T00,6.473,0.21159445666023888
IST,2017-03-28T00,6.474,0.21776189989718758
IST,2017-03-28T00,6.475,0.22484280355730923
IST,2017-03-28T00,6.476,0.23299290063651018
IST,2017-03-28T00,6.477,0.2421665276707294
IST,2017-03-28T00,6.478,0.2523590498273065
IST,2017-03-28T00,6.479,0.2636646383425379
IST,2017-03-28T00,6.48,0.2762543022311525
IST,2017-03-28T00,6.481,0.2910075488320332
IST,2017-03-28T00,6.482,0.3083804360689452
IST,2017-03-28T00,6.483,0.32619265553466087
IST,2017-03-28T00,6.484,0.3395811649061274
IST,2017-03-28T00,6.485,0.35158828426011013
IST,2017-03-28T00,6.486,0.3629944174782494
IST,2017-03-28T00,6.487,0.37430727852233514
IST,2017-03-28T00,6.488,0.38607729714777494
IST,2017-03-28T00,6.489,0.4003997296634618
IST,2017-03-28T00,6.49,0.4127875108201923
IST,2017-03-28T00,6.491,0.4229943716148756
IST,2017-03-28T00,6.492,0.4320774145963988
IST,2017-03-28T00,6.493,0.4403291541108963
IST,2017-03-28T00,6.494,0.4478960699515078
IST,2017-03-28T00,6.495,0.4548587479768321
IST,2017-03-28T00,6.496,0.4612625943347215
IST,2017-03-28T00,6.497,0.4671341545130308
IST,2017-03-28T00,6.498,0.4724902692287107
IST,2017-03-28T00,6.499,0.47734064561254896
IST,2017-03-28T00,6.5,0.4815383352453317
IST,2017-03-28T00,6.501,0.48536717183358596
IST,2017-03-28T00,6.502,0.4887297687338057
IST,2017-03-28T00,6.503,0.4917505638114056
IST,2017-03-28T00,6.504,0.4913371573087673
IST,2017-03-28T00,6.505,0.48696031823359937
IST,2017-03-28T00,6.506,0.47823606561853305
IST,2017-03-28T00,6.507,0.464007879523865
IST,2017-03-28T00,6.508,0.4430689647372484
IST,2017-03-28T00,6.509,0.4095862781677366
IST,2017-03-28T00,6.51,0.36794775955561637
IST,2017-03-28T00,6.511,0.3380898514506373
IST,2017-03-28T00,6.512,0.31425817197915823
IST,2017-03-28T00,6.513,0.2922373871423879
IST,2017-03-28T00,6.514,0.2704640242934645
IST,2017-03-28T00,6.515,0.2471961280467792
IST,2017-03-28T00,6.516,0.21874710204097778
IST,2017-03-28T00,6.517,0.18124957068967987
IST,2017-03-28T00,6.518,0.1643527245441792
IST,2017-03-28T00,6.519,0.1628703622003923
IST,2017-03-28T00,6.52,0.16125761753483148
IST,2017-03-28T00,6.521,0.16044929942092265
IST,2017-03-28T00,6.522,0.1595217674532788
IST,2017-03-28T00,6.523,0.1591350429628288
IST,2017-03-28T00,6.524,0.15947248765716265
IST,2017-03-28T00,6.525,0.16060023327469614
IST,2017-03-28T00,6.526,0.16250207921826415
IST,2017-03-28T00,6.527,0.1650872050250843
IST,2017-03-28T00,6.528,0.16821059764499297
IST,2017-03-28T00,6.529,0.17167111910500862
IST,2017-03-28T00,6.53,0.1751273688582809
IST,2017-03-28T00,6.531,0.17785100402354456
