Station,Date,Hour_UTC,Frequency_Hz,PLV,Hour_Threshold,Passed
KNG,20220101,1,3.8,0.07212344777787934,0.3,0
KNG,20220101,1,3.9,0.12715205832499046,0.3,0
KNG,20220101,1,4.0,0.2584154391014212,0.3,0
KNG,20220101,1,4.1,0.20782903766893124,0.3,0
KNG,20220101,1,4.2,0.2365859936634867,0.3,0
KNG,20220101,1,4.3,0.17292193955523738,0.3,0
KNG,20220101,1,4.4,0.25792903656263927,0.3,0
KNG,20220101,1,4.5,0.2849605324732471,0.3,0
KNG,20220101,1,4.6,0.2950095936861512,0.3,0
KNG,20220101,1,4.7,0.2536095615258366,0.3,0
KNG,20220101,1,4.8,0.33476007994751433,0.3,1
KNG,20220101,1,4.9,0.2601720152957493,0.3,0
KNG,20220101,1,5.0,0.2671220594044446,0.3,0
KNG,20220101,1,5.1,0.23157401673175446,0.3,0
KNG,20220101,1,5.2,0.1287347090347826,0.3,0
KNG,20220101,1,5.3,0.1379623210799424,0.3,0
KNG,20220101,1,5.4,0.04932904228591215,0.3,0
KNG,20220101,1,5.5,0.16262891039252503,0.3,0
KNG,20220101,1,5.6,0.22698978431826883,0.3,0
KNG,20220101,1,5.7,0.14327952333365046,0.3,0
KNG,20220101,1,5.8,0.19918504403046905,0.3,0
KNG,20220101,1,5.9,0.14370027507211047,0.3,0
KNG,20220101,1,6.0,0.2665062341855116,0.3,0
KNG,20220101,1,6.1,0.38883608392153324,0.3,1
KNG,20220101,1,6.2,0.34159599437618043,0.3,1
KNG,20220101,1,6.3,0.13409837002732541,0.3,0
KNG,20220101,1,6.4,0.2994712577314365,0.3,0
KNG,20220101,1,6.5,0.2897797366255249,0.3,0
KNG,20220101,1,6.6,0.15053854812409687,0.3,0
KNG,20220101,1,6.7,0.05609549870807943,0.3,0
KNG,20220101,1,6.8,0.10628306932920022,0.3,0
KNG,20220101,1,6.9,0.2285437112378433,0.3,0
KNG,20220101,1,7.0,0.13665928024667828,0.3,0
KNG,20220101,1,7.1,0.035088248492887185,0.3,0
KNG,20220101,1,7.2,0.11805723859772324,0.3,0
KNG,20220101,1,7.3,0.20932443125983535,0.3,0
KNG,20220101,1,7.4,0.2715940935204328,0.3,0
KNG,20220101,1,7.5,0.056479841933239565,0.3,0
KNG,20220101,1,7.6,0.22495103655981247,0.3,0
KNG,20220101,1,7.7,0.123738995018295,0.3,0
