Station,UTC_Hour,Pair,Frequency_Hz,PLV,Hour_Threshold,Passed
IST,2017-03-28T00,H-D,1.167,0.21481970015099092,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.168,0.21371280674206183,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.169,0.21259199390379854,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.17,0.21145209415550972,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.171,0.21028667333425563,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.172,0.20908722470573593,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.173,0.20784169813448478,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.174,0.2065314363461562,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.175,0.20512298428394735,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.176,0.2035413144682098,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.177,0.20144740110211007,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.178,0.19952285972899367,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.179,0.1981402652511697,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.18,0.19699861423396384,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.181,0.19602659291399532,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.182,0.19519030099067847,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.183,0.19447036648838165,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.184,0.19385478259744912,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.185,0.19333610790841776,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.186,0.19291014515251917,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.187,0.19257573288362143,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.188,0.19234664653038797,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.189,0.1923250839534337,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.19,0.1921925244841075,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.191,0.19224746909811402,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.192,0.19247455952047288,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.193,0.1930493151111043,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.194,0.19374247442754583,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.195,0.19411802527911784,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.196,0.19440141101221456,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.197,0.19463206625443988,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.198,0.19483590157529107,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.199,0.19502723719960455,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.2,0.19521599663872818,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.201,0.19540972156826997,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.202,0.1956145788923909,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.203,0.19583591529548566,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.204,0.19607859869044472,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.205,0.19634725339954903,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.206,0.19664644492160835,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.207,0.19698084893449888,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.208,0.19735543194652758,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.209,0.1977756729473307,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.21,0.1982478671740472,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.211,0.19877958149336797,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.212,0.19938039631305374,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.213,0.2000632360525415,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.214,0.20084712883069994,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.215,0.20176465436619173,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.216,0.20287319351037483,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.217,0.20426967140832508,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.218,0.2060978810073589,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.219,0.20738326197902415,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.22,0.20857008372906163,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.221,0.20969426400426297,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.222,0.21077864516580352,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.223,0.21183682167834317,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.224,0.21287722719565247,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.225,0.21390538957444324,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.226,0.2149250234348102,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.227,0.21593859532748874,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.228,0.21694761759134013,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.229,0.2179527645099328,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.23,0.21895381614141896,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.231,0.21994932528639607,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.232,0.22093548334979032,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.233,0.2219019002462291,0.3742586419530446,0
