Station,UTC_Hour,Pair,Frequency_Hz,PLV,Score
IST,2017-03-28T00,H-D,1.587,0.41477327462082975,4.147732746208297
IST,2017-03-28T00,H-D,1.588,0.41543416599228333,4.154341659922833
IST,2017-03-28T00,H-D,1.589,0.4160823270177539,4.160823270177539
IST,2017-03-28T00,H-D,1.59,0.41693966301715824,4.169396630171582
IST,2017-03-28T00,H-D,1.591,0.4173967681467783,4.173967681467783
IST,2017-03-28T00,H-D,1.592,0.4175384284531362,4.175384284531362
IST,2017-03-28T00,H-D,1.593,0.4175758940812858,4.175758940812858
IST,2017-03-28T00,H-D,1.594,0.41741315996978096,4.17413159969781
IST,2017-03-28T00,H-D,1.595,0.41746590598254596,4.174659059825459
IST,2017-03-28T00,H-D,1.596,0.41747986820245614,4.174798682024561
IST,2017-03-28T00,H-D,1.597,0.41743827652077314,4.174382765207731
IST,2017-03-28T00,H-D,1.598,0.41735085222972423,4.173508522297242
IST,2017-03-28T00,H-D,1.599,0.4172273506918846,4.172273506918846
IST,2017-03-28T00,H-D,1.6,0.4170761592232496,4.170761592232496
IST,2017-03-28T00,H-D,1.601,0.41690430777882154,4.169043077788215
IST,2017-03-28T00,H-D,1.602,0.416717625458601,4.1671762545860105
IST,2017-03-28T00,H-D,1.603,0.4165209001395762,4.1652090013957626
IST,2017-03-28T00,H-D,1.604,0.4163180131370563,4.163180131370563
IST,2017-03-28T00,H-D,1.605,0.4161120369005982,4.161120369005983
IST,2017-03-28T00,H-D,1.606,0.41590527905476476,4.159052790547648
IST,2017-03-28T00,H-D,1.607,0.41569922875217585,4.156992287521758
IST,2017-03-28T00,H-D,1.608,0.4154942649563036,4.154942649563036
IST,2017-03-28T00,H-D,1.609,0.4152886046905491,4.152886046905492
IST,2017-03-28T00,H-D,1.61,0.41507412566577545,4.150741256657755
IST,2017-03-28T00,H-D,1.611,0.4148169611277972,4.148169611277972
IST,2017-03-28T00,H-D,1.612,0.41443906851158846,4.1443906851158845
IST,2017-03-28T00,H-D,1.613,0.4141400083049439,4.141400083049439
IST,2017-03-28T00,H-D,1.614,0.41396490175239764,4.139649017523976
IST,2017-03-28T00,H-D,1.615,0.41382569495396315,4.138256949539631
IST,2017-03-28T00,H-D,1.616,0.4139710773119964,4.139710773119964
IST,2017-03-28T00,H-D,1.617,0.41353626646546693,4.13536266465467
IST,2017-03-28T00,H-D,1.618,0.41275516593277906,4.127551659327791
IST,2017-03-28T00,H-D,1.619,0.4122990739182713,4.122990739182713
IST,2017-03-28T00,H-D,1.62,0.41192151618378825,4.119215161837882
IST,2017-03-28T00,H-D,1.621,0.41152010105324827,4.115201010532482
IST,2017-03-28T00,H-D,1.622,0.41131714677152625,4.113171467715262
IST,2017-03-28T00,H-D,1.623,0.4110653738170313,4.1106537381703125
IST,2017-03-28T00,H-D,1.624,0.4105636350485478,4.1056363504854785
IST,2017-03-28T00,H-D,1.625,0.41048113667974456,4.1048113667974455
IST,2017-03-28T00,H-D,1.626,0.41062047653618405,4.1062047653618405
IST,2017-03-28T00,H-D,1.627,0.4112461963748142,4.112461963748142
IST,2017-03-28T00,H-D,1.628,0.4115933631711141,4.115933631711141
IST,2017-03-28T00,H-D,1.629,0.41167146678554795,4.116714667855479
IST,2017-03-28T00,H-D,1.63,0.41021310238024794,4.102131023802479
IST,2017-03-28T00,H-D,1.631,0.4092605317316451,4.092605317316451
IST,2017-03-28T00,H-D,1.632,0.40828169436728534,4.082816943672853
IST,2017-03-28T00,H-D,1.633,0.407123478560529,4.07123478560529
IST,2017-03-28T00,H-D,1.634,0.40525847449221386,4.052584744922139
IST,2017-03-28T00,H-D,1.635,0.4038907004714304,4.038907004714304
IST,2017-03-28T00,H-D,1.636,0.40245416497241515,4.024541649724151
IST,2017-03-28T00,H-D,1.637,0.40057005399606505,4.0057005399606505
IST,2017-03-28T00,H-D,1.638,0.39854957149039716,3.985495714903972
IST,2017-03-28T00,H-D,1.639,0.39690323939793853,3.9690323939793855
IST,2017-03-28T00,H-D,1.64,0.39534045978059773,3.953404597805977
IST,2017-03-28T00,H-D,1.641,0.39378600204407316,3.9378600204407315
IST,2017-03-28T00,H-D,1.642,0.3921793068953687,3.921793068953687
IST,2017-03-28T00,H-D,1.643,0.389932092493377,3.89932092493377
IST,2017-03-28T00,H-D,1.644,0.38758866138876885,3.8758866138876886
IST,2017-03-28T00,H-D,1.645,0.38573509731704003,3.8573509731704005
IST,2017-03-28T00,H-D,1.646,0.38432885865740085,3.8432885865740083
IST,2017-03-28T00,H-D,1.647,0.3831552119827178,3.831552119827178
IST,2017-03-28T00,H-D,1.648,0.38214221635253887,3.821422163525389
IST,2017-03-28T00,H-D,1.649,0.3812374363949646,3.812374363949646
IST,2017-03-28T00,H-D,1.65,0.3803997149716664,3.8039971497166643
IST,2017-03-28T00,H-D,1.651,0.37959568047912756,3.7959568047912757
IST,2017-03-28T00,H-D,1.652,0.3787971129038077,3.787971129038077
IST,2017-03-28T00,H-D,1.653,0.3779796141170962,3.7797961411709617
IST,2017-03-28T00,H-D,1.654,0.37712161432027325,3.7712161432027322
IST,2017-03-28T00,H-D,1.655,0.376202234172908,3.7620223417290797
IST,2017-03-28T00,H-D,1.656,0.3751971417357372,3.751971417357372
IST,2017-03-28T00,H-D,1.699,0.3751193909799597,3.751193909799597
IST,2017-03-28T00,H-D,1.7,0.3761036605007456,3.7610366050074564
IST,2017-03-28T00,H-D,1.701,0.3771134219473957,3.771134219473957
IST,2017-03-28T00,H-D,1.702,0.37814952579278244,3.7814952579278245
IST,2017-03-28T00,H-D,1.703,0.3792231413159236,3.792231413159236
IST,2017-03-28T00,H-D,1.704,0.3803601290481649,3.803601290481649
IST,2017-03-28T00,H-D,1.705,0.38159137682030847,3.815913768203085
IST,2017-03-28T00,H-D,1.706,0.3829205380021619,3.829205380021619
IST,2017-03-28T00,H-D,1.707,0.38444293492059933,3.8444293492059933
IST,2017-03-28T00,H-D,1.708,0.3858750187909747,3.858750187909747
IST,2017-03-28T00,H-D,1.709,0.38728976231820084,3.8728976231820083
IST,2017-03-28T00,H-D,1.71,0.38869831858788884,3.886983185878888
IST,2017-03-28T00,H-D,1.711,0.3901156965988908,3.901156965988908
IST,2017-03-28T00,H-D,1.712,0.3915869027236594,3.915869027236594
IST,2017-03-28T00,H-D,1.713,0.39337094613469753,3.933709461346975
IST,2017-03-28T00,H-D,1.714,0.39492453005705613,3.9492453005705612
IST,2017-03-28T00,H-D,1.715,0.3966139483572642,3.966139483572642
IST,2017-03-28T00,H-D,1.716,0.3983544441266886,3.983544441266886
IST,2017-03-28T00,H-D,1.717,0.40050963931334704,4.005096393133471
IST,2017-03-28T00,H-D,1.718,0.40220863813870644,4.022086381387064
IST,2017-03-28T00,H-D,1.719,0.4038669626199214,4.038669626199214
IST,2017-03-28T00,H-D,1.72,0.40549022352303604,4.054902235230361
IST,2017-03-28T00,H-D,1.721,0.40708997229067395,4.07089972290674
IST,2017-03-28T00,H-D,1.722,0.40867623635323475,4.086762363532348
IST,2017-03-28T00,H-D,1.723,0.4102588189916701,4.102588189916701
IST,2017-03-28T00,H-D,1.724,0.41185316083636236,4.118531608363623
IST,2017-03-28T00,H-D,1.725,0.41348806711807895,4.13488067118079
IST,2017-03-28T00,H-D,1.726,0.4151743504973558,4.151743504973558
IST,2017-03-28T00,H-D,1.727,0.4168539933341844,4.168539933341844
IST,2017-03-28T00,H-D,1.728,0.4185020268186028,4.185020268186028
IST,2017-03-28T00,H-D,1.729,0.4201431857336528,4.2014318573365275
IST,2017-03-28T00,H-D,1.73,0.42180580139753326,4.218058013975333
IST,2017-03-28T00,H-D,1.731,0.423650766181977,4.23650766181977
IST,2017-03-28T00,H-D,1.732,0.42530404565192453,4.253040456519245
IST,2017-03-28T00,H-D,1.733,0.4269193172065749,4.269193172065749
IST,2017-03-28T00,H-D,1.734,0.4284933675716661,4.284933675716661
IST,2017-03-28T00,H-D,1.735,0.4300324779028736,4.3003247790287356
IST,2017-03-28T00,H-D,1.736,0.4315382965461978,4.315382965461978
IST,2017-03-28T00,H-D,1.737,0.4330102933405039,4.330102933405039
IST,2017-03-28T00,H-D,1.738,0.43444807556387227,4.344480755638723
IST,2017-03-28T00,H-D,1.739,0.4358521896156003,4.358521896156003
IST,2017-03-28T00,H-D,1.74,0.4372240174312812,4.372240174312812
IST,2017-03-28T00,H-D,1.741,0.43856550079292783,4.385655007929278
IST,2017-03-28T00,H-D,1.742,0.43987903946575313,4.3987903946575315
IST,2017-03-28T00,H-D,1.743,0.44116764234545897,4.4116764234545895
IST,2017-03-28T00,H-D,1.744,0.4424353346366653,4.424353346366653
IST,2017-03-28T00,H-D,1.745,0.44368768867562447,4.436876886756245
IST,2017-03-28T00,H-D,1.746,0.44493184817871384,4.449318481787138
IST,2017-03-28T00,H-D,1.747,0.44617562879199163,4.461756287919917
IST,2017-03-28T00,H-D,1.748,0.44743509190072445,4.474350919007245
IST,2017-03-28T00,H-D,1.749,0.44880254983572404,4.48802549835724
IST,2017-03-28T00,H-D,1.75,0.45002573036741794,4.5002573036741795
